OBJECT A,OBJECT B,ASPECT,ASPECT BELONGS TO,MOST FREQUENT RATING,ROLE,CONFIDENCE,AMOUNT OF GOOD RATINGS,AMOUNT OF BAD RATINGS,SENTENCE EXAMPLE 1,SENTENCE EXAMPLE 2,SENTENCE EXAMPLE 3,SENTENCE EXAMPLE 4,SENTENCE EXAMPLE 5
golf,hockey,easier for him,hockey,BAD,,1.0,0,1,,,,,
golf,hockey,easier to drive a golf cart with a beer in my hand,hockey,BAD,,1.0,0,1,,,,,
harvard,mit,easier,harvard,GOOD,PREDICATE-DEPENDENT,1.0,0,1,so it is well known that grading at stanford or harvard is easier than grading at mit or caltech.,"such a framework would make it easier for students to take courses in harvard schools other than their own, as well as at mit.",,,
harvard,mit,frats,harvard,BAD,,1.0,0,1,"it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit,  says jaronczyk.","""it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit,"" says jaronczyk.",,,
harvard,mit,jaronczyk,harvard,BAD,,1.0,0,1,"it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit,  says jaronczyk.","""it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit,"" says jaronczyk.",,,
harvard,mit,smarter,mit,GOOD,PREDICATE-DEPENDENT,1.0,0,1,at mit we thought we were better than people at harvard because we were smarter and worked harder.,"if you want to say mit kids are smarter than harvard kids, well, i give that to you.",i can't understand why they'd turn down the mit engineer who is probably much smarter then the harvard poetry major.,"""at mit we thought we were better than people at harvard because we were smarter and worked harder.","but on average, the random group of 10 harvard grads will always be smarter than the random group of 10 non-harvard grads (unless those non-harvard grads went to a similar school such as yale, mit, etc.)."
harvard,mit,shuttle,harvard,BAD,,1.0,0,1,"it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit,  says jaronczyk.","""it seems like the guys at mit are worse than the guys at harvard because the shuttle runs directly to the frats at mit,"" says jaronczyk.","bryan says that general opinion on campus favors harvard men as being more ""normal"" than the men at the mit shuttle stop.",,
harvard,mit,harder,mit,GOOD,PREDICATE-DEPENDENT,1.0,0,1,at mit we thought we were better than people at harvard because we were smarter and worked harder.,it is even harder to get off the waitlist from mit than at harvard or stanford.,"""at mit we thought we were better than people at harvard because we were smarter and worked harder.",,
harvard,mit,faster,mit,GOOD,PREDICATE-DEPENDENT,1.0,1,0,"it would be great to know how much it these are, nice as cheap tickets are, a handful of $12 tickets at mit add up a lot faster than a handful of free ones at harvard, for example.","it would be great to know how much it these are; nice as cheap tickets are, a handful of $12 tickets at mit add up a lot faster than a handful of free ones at harvard, for example.",,,
harvard,mit,earlier,mit,GOOD,PREDICATE-DEPENDENT,1.0,0,1,mit announced last week that the size of its endowment fell by roughly 21 percent this past fiscal year-substantially better than the 30 percent declines reported by harvard and yale only a few days earlier.,"junior mike katzer, shown here in earlier action, led harvard with three goals in its 10-8 win over cross-town rival mit.","the mit ballroom dance team marked the beginning of their competitive season by busing, driving, walking, running, and dancing their way down to harvard earlier this month to compete at the annual harvard beginners competition.",,
baseball,basketball,game,baseball,BAD,,1.0,0,1,"baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.","the kind of games nintendo makes is not inferior or superior to other kinds of games, just like basketball is not superior or inferior to baseball.","husker baseball is huge right now, and baseball games will probably get better ratings than basketball.","but if i did, i would watch baseball because it is easier to get a ticket to a baseball game than a basketball game.",tickets to baseball games tend to be much cheaper and easier to get than those for football and basketball games.
baseball,basketball,statistics,baseball,GOOD,ASPECT,1.0,0,1,"baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.",the paper notes that advanced baseball statistics seem to predict performance better than basketball based on this study.,i don't think that your baseball analogy really applies because  productivity  is better-- and more easily -- measured through statistics in baseball than it is in basketball.,peta uses a combination of common sense and advanced baseball statistics (or sabermetrics) to explain why betting on baseball is a far superior choice to betting on football or basketball - both from a financial and an emotional perspective.,it's a lot easier to use statistics in baseball than basketball.
baseball,basketball,easier to quantify statistically,baseball,GOOD,PREDICATE-FULL,1.0,0,1,,,,,
baseball,basketball,easier to quantify,baseball,GOOD,PREDICATE-FULL,1.0,1,0,"baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.",baseball is a lot easier to quantify than basketball.,,,
baseball,basketball,league,baseball,BAD,,1.0,0,1,"our new league could offer the same level of excellence in academics, baseball and football, and easier travel plus better basketball than c-usa.",in sustained interest the baseball league fared better than either basketball or softball.,"that the two leagues have different rules is what makes baseball infinitly better than football, hockey, or basketball.","michael jordan's lack of success in minor league baseball is not an indicator that baseball is  harder  than basketball, nor does it say anything about jordan's genetically-determined  athletic  talent.","the chart doesn't tell the entire story, since it doesn't include minor league salaries and doesn't account for the fact that baseball contracts are far friendlier than football or basketball deals because most of the money is guaranteed."
baseball,basketball,skills,baseball,GOOD,ASPECT,1.0,0,1,thats like saying michael jordan could hit a baseball better than babe ruth because of his superior basketball skills.,"in addition to being an elite baseball player, dennis is an excellent athlete, as demonstrated by his superior basketball skills.","of course, baseball is a much easier game to call than basketball, but still, if vin started seeing his skills deteriorate, you can bet he'd step down the next day.","first: baseball has more reliance on deception and fine motor skills than, say, football, so maybe baseball skills just take longer to develop than football or basketball skills.","also, i think that baseball, more than football and basketball utilize ""learned"" skills."
baseball,basketball,ball,baseball,GOOD,ASPECT,1.0,0,1,thats like saying michael jordan could hit a baseball better than babe ruth because of his superior basketball skills.,"our new league could offer the same level of excellence in academics, baseball and football, and easier travel plus better basketball than c-usa.","baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.","the kind of games nintendo makes is not inferior or superior to other kinds of games, just like basketball is not superior or inferior to baseball.","for the record, basketball is worse than baseball and neither of them are any better of a spectator sport than nascar."
baseball,basketball,larger,baseball,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"basketball, on the other hand, uses a larger ball that travels much slower than a baseball or hockey puck, so 10 footcandles would be sufficient.","this issue in the eyes of scouts and baseball men is that shorter pitchers, for whatever reason, break down easier than the taller, larger pitchers (say, just realized that pitchers have been growing much like basketball players been growing).",they range from the size of a baseball to larger than a basketball.,the skill-level gap between major league baseball and amateur baseball is much larger than with football or basketball.,"in a nutshell, you'd expect baseball to have a larger overhead percentage than basketball."
baseball,basketball,football,baseball,BAD,,1.0,0,1,"our new league could offer the same level of excellence in academics, baseball and football, and easier travel plus better basketball than c-usa.",i think the baseball managers and football coaches are smarter than basketball coaches.'',baseball is better than football and basketball who have caps!,kentucky high school baseball is superior to kentucky high school basketball and football when it comes to producing big-time talent.,"basketball and football had their scandals, some just as bad or worse than baseball."
baseball,basketball,easier to quantify because,baseball,BAD,,1.0,0,1,"baseball is much easier to quantify because (1) it's a one-at-a-time game on offense, and (2) the defensive statistics, although flawed, are still better than what's available for basketball.",,,,
baseball,basketball,faster,basketball,GOOD,PREDICATE-FULL,1.0,1,0,basketball is faster paced and has more action than baseball.,"football and baseball are certainly not faster than soccer.after every play there is a short break in football, thats jsut annoying and baseball.....basketball is faster sure but football and baseball are just slower and not as demanding for the sportsmen as soccer .",basketball and football are played at a much faster pace than baseball.,the average basketball player can run faster and jump higher than the average baseball player.,3) basketball is by its very nature a faster-paced game than baseball and thus more prone to momentum-based runs.
baseball,basketball,quicker,basketball,GOOD,PREDICATE-FULL,1.0,1,0,"that would demonstrate once again that basketball players and coaches are both smarter (think quicker and more continuously, no long in-game breaks necessary) and more fan-friendly than baseball or football coaches... .","people want to play football and basketball, where you can get to the big game and the big money a lot quicker than you can in baseball.","imo, the popularity of basketball will continue to grow, mainly because it's one of the sports i like to watch the most, but also because it's more fast-paced, quicker rewards than these long games of soccer or baseball.","thus, sterling's exit from basketball could very well be much quicker and less complicated than schott's departure from baseball.","""we were a lot quicker [saturday] without him,"" said nate lemmerman, known more for his exploits in football and baseball than basketball at cdm."
baseball,basketball,greater,basketball,BAD,,1.0,0,1,"this is why the better team wins any given basketball game with far greater frequency than it does in baseball, football or hockey.","like basketball, i have a greater analytical knowledge of soccer than i do with baseball.",@upinc44 a single basketball player can have greater influence over the outcome of a game than a baseball player (other than the pitcher).,"others argue that basketball and football provide more expedient routes to stardom and money, specifically, both football and basketball provide greater exposure at the collegiate level than does baseball.","also, the ability of one basketball player to take over a game is greater than that of a baseball player, especially considering rule limitations on player movement in baseball."
baseball,basketball,hockey,basketball,BAD,,1.0,0,1,lol yet another reason why baseball is inferior to tree hockey (aka basketball).,"this is why the better team wins any given basketball game with far greater frequency than it does in baseball, football or hockey.",there is not a single basketball or football uniform nicer than a hockey or baseball uniform.,now baseball is no better than football or hockey or basketball.,"as baseball doesn't have a clock, it moves at a slower pace than, say, basketball, soccer, or hockey."
baseball,basketball,higher,basketball,GOOD,PREDICATE-DEPENDENT,1.0,0,1,the average basketball player can run faster and jump higher than the average baseball player.,"the soft, star-shaped yackle ball flies farther than a football, higher than a basketball and is easier to catch than a baseball.",both baseball and football have much higher white participation (in the professional ranks) than does basketball.,"in other words, the bar is higher for statistical analysis in basketball than it is in baseball.",""" baseball requires much higher mentoring than the two other sports (football/basketball) that compete for elite athletes."
baseball,basketball,easier to isolate,basketball,BAD,,1.0,0,1,,,,,
baseball,basketball,bigger,basketball,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"given that the advantages of college basketball over the d-league are currently greater than college vs. minor league baseball, it would likely mean even bigger contracts to get the critical mass of talent necessary.",baseball is much bigger than basketball in cities with both baseball and basketball.,"reinsdorf: ""basketball is a bigger sport than baseball internationally.","""by far bigger than baseball, than american football, than basketball.",""" i had bigger (college) offers in baseball than basketball, but basketball was my passion."
baseball,basketball,team,basketball,BAD,,1.0,0,1,"this is why the better team wins any given basketball game with far greater frequency than it does in baseball, football or hockey.","seems like he's putting lipstick on a pig, scccs baseball team is even worse than basketball or football.","more to the point, the best teams in basketball have a much better winning percentage than in baseball.","1) your basketball analogy works better than you might think, because our offensive philosophy is a team-oriented approach to baseball.","well, if you're going to do laundry for a pro sports team, basketball would definitely be a better choice than baseball."
baseball,basketball,easier,basketball,GOOD,PREDICATE-FULL,1.0,1,0,i never said basketball was easier than baseball.,carey found basketball an easier sport to do than baseball.,football and basketball are far easier to project than baseball .,a statement like that is as ridiculous as saying  basketball is a better sport than baseball because a basketball can be seen by tv cameras easier.,"basketball talent is a lot easier to spot than, say, baseball talent."
baseball,basketball,boundaries,basketball,BAD,,1.0,0,1,that's like arguing that baseball is inferior to basketball because they use different boundaries.,,,,
amazon,google,app,amazon,BAD,,1.0,0,1,"last week, amazon unleashed its new video-streaming device the amazon fire tv (or firetv, as the label reads), which the company says would be faster and easier to use than competing devices like the google chromecast apple tv and the roku products.",amazon appstore has much greater potential than google android market.,"amazon better for generating app revenue than google, flurry says .","in my experience, too many of these android apps - which google doesn't vet in advance - are flaky and inferior to those in the curated collections of apple and amazon.",the amazon appstore is doing a better job selling apps than google play is.
amazon,google,music,amazon,BAD,,1.0,1,0,"i haven't spent much time with amazon mp3, and i  find the integration with my devices to be superior to google music.",since day one i thought amazon offered a better product than google music.,"on the whole, amazon offers better prices on music than itunes or google play.","this comparison shows that amazon kindle fire hd is better than asus google nexus 7 for appearance, while asus google nexus 7 is better than amazon kindle fire hd for business, photography, music and entertainment.",amazon is just so much better and their music is always cheaper than google too.
amazon,google,api,amazon,GOOD,ASPECT,1.0,0,1,same reasons why google storage is okay but google prediction api gets slower liftoff than amazon console (now with free instances) - though the r interface to prediction api sure helps.,"as a rapidly growing video site that has generated more web traffic than facebook and hulu in past months, twitch will give amazon greater scale to compete for ad dollars with the google-owned youtube, the world's biggest online video destination by far.",,,
amazon,google,storage,amazon,GOOD,ASPECT,1.0,1,0,same reasons why google storage is okay but google prediction api gets slower liftoff than amazon console (now with free instances) - though the r interface to prediction api sure helps.,now i'm uploading to amazon because of the unlimited storage and the app is working much better than the google music app currently is.,,,
amazon,google,prediction,amazon,BAD,,1.0,0,1,same reasons why google storage is okay but google prediction api gets slower liftoff than amazon console (now with free instances) - though the r interface to prediction api sure helps.,,,,
amazon,google,delivery,amazon,GOOD,ASPECT,1.0,1,0,"based on info i've seen several people skipped play in favor of amazon because it was much quicker for delivery (that, and they've handled massive volumes of sales much better than google has in the past).",why amazon still wins amazon has two superior delivery services google and b&n can't match.,"for google, the arrangement is just another step toward building a list of retail partners that allow it to offer a comparable, if not better, collection of products for same-day delivery than amazon.",,
amazon,google,easier to get at,amazon,GOOD,PREDICATE-FULL,1.0,1,0,"however, the content provided by the amazon machine is still far superior and easier to get at than that offered by google.",,,,
amazon,google,sales,amazon,GOOD,ASPECT,1.0,1,0,"based on info i've seen several people skipped play in favor of amazon because it was much quicker for delivery (that, and they've handled massive volumes of sales much better than google has in the past).","amazon has better operating growth than google, and it's beating ebay in sales volume and customer acquisition.","in some ways, amazon is better suited to be a true tablet competitor than google, and the subsidized price point is obviously an advantage they'll have in terms of sales.",,
amazon,google,volumes,amazon,BAD,,1.0,0,1,"based on info i've seen several people skipped play in favor of amazon because it was much quicker for delivery (that, and they've handled massive volumes of sales much better than google has in the past).",'the threat to google is if large enough volumes of consumers looking to buy products stop searching google and instead simply enter the amazon store.,the threat to google is if large enough volumes of consumers looking to buy products stop searching google and instead simply enter the amazon store.,"i don't know what kinds of volumes (traffic and hosting) google ae is handling at this point, but at this point i think i would trust google more than amazon.",
amazon,google,past,amazon,BAD,,1.0,0,1,"based on info i've seen several people skipped play in favor of amazon because it was much quicker for delivery (that, and they've handled massive volumes of sales much better than google has in the past).","as a rapidly growing video site that has generated more web traffic than facebook and hulu in past months, twitch will give amazon greater scale to compete for ad dollars with the google-owned youtube, the world's biggest online video destination by far.",,,
amazon,google,lighter,google,BAD,,1.0,0,1,"other than being affordable, the google nexus 7 is lighter and more portable with its 7-inch screen and 340 gram weight - even lighter than the successful amazon kindle fire .","moreover, the google nexus 7 is both lighter and skinnier than the amazon kindle fire, which again contributes to its more natural feel in the hand.",amazon realized that people like lighter smaller tablets for ebooks a long time ago and i'm glad google/asus did too.,"priced in line with the amazon kindle at $139, the iriver story hd is lacking in certain features, but to some it's made up for it with a higher resolution display, longer battery life, lighter weight, expandable storage with sd card, and google ebookstore integration.",
amazon,google,greater,google,BAD,,1.0,0,1,google's entry could cause this e-book technology to explode ... google has much greater reach than amazon.,"drop in google of 1/3 loss of market cap 47,143,925,136 this is greater than all of amazon at its peak.","for struggling independent bookstores, a customer donning google glass with built-in isbn capture search could be a greater threat than the amazon price check contretemps.","clearly, the volume of searches [and potential book-buying discoveries] on google is vastly greater than even amazon [or ebay] can claim.","having already digitized twelve million books, including out-of-print titles, google will have a far greater selection than amazon or apple."
amazon,google,cheaper,google,GOOD,PREDICATE-FULL,1.0,1,0,"that's because google is better than bing (unless you're searching for porn), amazon is more convenient and or generally cheaper than b&n, and windows is easier to use (excepting windows 8) than linux.","when the product was released, google stated that its service would be faster and cheaper than what amazon provided.",google is starting in a better position than amazon did: even the 16gb nexus 7 is cheaper than the highest historic cost of anamazon tablet.costing just $159.25 (£103) in materials.,"if google starts selling cheaper than amazon, amazon will cut their prices and margins.","google won't end up being cheaper than amazon due to competition, but neither will amazon be cheaper due to volume."
amazon,google,smarter,google,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"amazon being in a similar position, along with potentially smarter strategies for selling content, may be why the amazon appstore is just so much more successful at this point than google play.","most existing ones are used to search documents (google performs document search), but more often than not, companies need smarter database search (searches on amazon and linkedin are both examples of database search).",,,
amazon,google,easier,google,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"that's because google is better than bing (unless you're searching for porn), amazon is more convenient and or generally cheaper than b&n, and windows is easier to use (excepting windows 8) than linux.",zach: i love google adsense and find it easier in most ways than amazon.,"still, simply writing an app and uploading it to google's cloud is significantly easier than fiddling with amazon web services and beanstalk.",google seems to have decided it would be much easier to integrate with amazon than to seek licensing from the labels and consumer mindshare on its own.,"it's the first i've heard of the google books site, too, and the book viewing is much easier for me than on the amazon site."
amazon,google,safer,google,GOOD,PREDICATE-FULL,1.0,0,1,that quotation explains why the amazon appstore is both smaller than google market and safer.,,,,
amazon,google,higher,google,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"add more authors, more newsletters, more websites, more google hits, and we have a niche cloud store that attracts fans, makes us higher profits, and is easier to find things than on amazon.","each of these devices offers very similar hardware components, including an 8-inch screen running at a lowly resolution of just 1280 x 800-the google nexus 7 offers a superior 1080p screen, whereas the amazon kindle fire hdx goes even higher at 1920 x 1200.","""it's higher than amazon, and it's higher than google.""",amazon is trading at a much higher multiple than google across the board.,"even though google is the better, higher growth company, amazon is still more expensive."
amazon,google,easier to use,google,GOOD,PREDICATE-FULL,1.0,0,1,"that's because google is better than bing (unless you're searching for porn), amazon is more convenient and or generally cheaper than b&n, and windows is easier to use (excepting windows 8) than linux.","leo: somebody said this, and this is interesting, that the payment api is easier to use for amazon than it is for google.","with the roku, just three ""channels"" of netflix, hulu and amazon gave me access to plenty of tv far more easily than google tv ever did, at a far cheaper price, in a device much easier to use.",,
amazon,google,windows,google,BAD,,1.0,0,1,"that's because google is better than bing (unless you're searching for porn), amazon is more convenient and or generally cheaper than b&n, and windows is easier to use (excepting windows 8) than linux.","it doesn't help that google's android also runs rings around the iphone 5 with a broader selection of devices and partners than windows phone offers, a better apps selection than windows phone, and viable ecosystem choices from both amazon and google.",,,
amazon,google,play,google,BAD,,1.0,1,0,the changes help make google play a better alternative to apple and amazon alternatives.,"although, the google play version of a game tends to get faster updates than the amazon one.",i'm so glad i did because google play is so much better than the amazon appstore.,"it also then allows you to use google play, which i like better for music than amazon .","i don't recall the specific example right now, i just noticed that google music played it better than amazon mp3."
espn,fox,greater,espn,BAD,,1.0,0,1,"plus, the espn networks have a greater reach in this country than fox soccer channel.","espn has greater professionalism than speed/fox and takes the sport very seriously where with fox/speed the coverage is jokes, light, feel good moments with dw, roberts, wendy etc. .",even reruns of espn fc's show that are televised in the early morning hours are generating a greater average viewing audience than the best episode of fox soccer daily thus far.,"since 1998, fox soccer channel has also been covering european national and club matches, with much greater density than espn.",
espn,fox,talent,espn,GOOD,ASPECT,1.0,1,0,"espn is far superior to fox, if only because of all the talent, resources and access a company like espn can get.",your overall premise is correct...not just for the talent but the overall production of these games on fox has been inferior to what espn/abc/cbs do on a regular basis.,"if espn is never done adding and tweaking their talent, then obviously fox will be almost equally as active.","it'll run  fox football daily  weekdays at 6 p.m., which will feature  nfl on fox  talent, including terry bradshaw, howie long and former espn reporter erin andrews.","fox continues to slowly improve their champions league coverage, even though they still import world feeds instead of supplying their own broadcast talent like espn."
espn,fox,worse for me,espn,BAD,,1.0,0,1,,,,,
espn,fox,resources,espn,GOOD,ASPECT,1.0,1,0,"espn is far superior to fox, if only because of all the talent, resources and access a company like espn can get.",@aaron....i fully agree fox has more than enough resources to broadcast the matches espn/abc-esque through fx/fsw/local-fox + making their own version of espn360 free .,"but while fox may start a long ways behind espn, they have the resources to commit to an all sports cable channel other networks don't right now.",the bad news is that fox is still not seeing a lot of momentum on the ratings front for original programming and resources aren't as abundant than at espn.,
espn,fox,access,espn,GOOD,ASPECT,1.0,1,0,"espn is far superior to fox, if only because of all the talent, resources and access a company like espn can get.",,,,
espn,fox,company,espn,BAD,,1.0,0,1,"espn is far superior to fox, if only because of all the talent, resources and access a company like espn can get.",the difference is that the fox sports is much smaller portion of the parent company compared to espn.,21 st   century fox  (nyse: fox ) desperately would like you to think that its upcoming fox sports one launch will make the company a direct rival and threat to disney's insanely lucrative espn sports franchise.,,
espn,fox,circus,espn,BAD,,1.0,0,1,"i'll take the tnt, espn, abc issues as it is better than listening to the circus attitude fox gives us.",i have been down on fox the last 2 years but right now i would take ole dw back over this espn circus of boring talking heads.,,,
espn,fox,dust,espn,BAD,,1.0,0,1,"i do know espn will be better than fox,as they have been left in the dust.",,,,
espn,fox,attitude,espn,GOOD,ASPECT,1.0,1,0,"i'll take the tnt, espn, abc issues as it is better than listening to the circus attitude fox gives us.","thankfully, petty does not have the ""fox sports attitude"" and his wardrobe does not contain enough neckties to get him through even one nascar on espn weekend.",,,
espn,fox,better for them to allow fox to rise up as its primary competition,espn,BAD,,1.0,0,1,"so, for espn, it was much better for them to allow fox to rise up as its primary competition than comcast/nbc.",,,,
espn,fox,easier,fox,GOOD,PREDICATE-DEPENDENT,1.0,0,1,"not a bad thing for those of us not interested in soccer, because fox sports will be easier to avoid than espn when surfing channels.","having the espn tag with your programming is much easier to sell local advertising than the competitors: fox sports radio, yahoo!","having the espn tag with your programming is much easier to sell local advertising than the competitors: fox sports radio, yahoo! sports radio, cbs sports, and the nbc sports radio network (of which i have never actually heard).","interesting that espn will re-air the ""sec on cbs"" games but not the ""notre dame on nbc"" (stanford and pitt were both at nd), or big 12/pac-12 games from fox. must be something from the sec/cbs/espn contract that makes this easier than the others.",
espn,fox,easier to avoid,fox,BAD,,1.0,0,1,"not a bad thing for those of us not interested in soccer, because fox sports will be easier to avoid than espn when surfing channels.",,,,
espn,fox,sports,fox,GOOD,ASPECT,1.0,0,1,"when it comes to watching football and basketball, fox sports is superior to espn in nearly every single way.",over the weekend fox sports oklahoma did something smarter than what espn has been doing lately.,in fact all of fox sports radio is better than espn radio.,i really like the coverage on fox sports its much better than on espn.,"those are brutal start times for fox sports, and there is little chance fox will average better viewership numbers than espn."
espn,fox,channels,fox,BAD,,1.0,0,1,"not a bad thing for those of us not interested in soccer, because fox sports will be easier to avoid than espn when surfing channels.",both fox channels absolutely suck in quality compared to espn.,,,
espn,fox,better to be over engaged,fox,BAD,,1.0,0,1,,,,,
espn,fox,pm,fox,BAD,,1.0,0,1,,,,,
espn,fox,jaws,fox,BAD,,1.0,0,1,"mike joy does such a great job and as long as i don't have to listen to jaws all the time, i like larry and hammond, can still do without myers, fox does a much better job than espn.",,,,
espn,fox,time,fox,BAD,,1.0,0,1,"those are brutal start times for fox sports, and there is little chance fox will average better viewership numbers than espn.","the hd picture on fox looks great tonight, about 4 million times better than the espn game that they tried to pass off as hd.","mike joy does such a great job and as long as i don't have to listen to jaws all the time, i like larry and hammond, can still do without myers, fox does a much better job than espn.","( espn is worse than fox at this even for nationwide races) i know times change, but a 5 minute commercial break and then a green flag with a stupid digger cam,digger animation, and a crawler to order a digger ring tone!","after watching digger come out of his hole approximately 147 times this weekend, i was starting to change my opinion that fox is better than espn and put the 4-letter network back at the top when it comes to nascar coverage."
espn,fox,larry,fox,BAD,,1.0,0,1,"mike joy does such a great job and as long as i don't have to listen to jaws all the time, i like larry and hammond, can still do without myers, fox does a much better job than espn.","fox goes more 'serious' than espn with their jackets, especially since mike, larry, and darrell usually choose different colors than traditional network-grade navy blue.",,,
espn,fox,hammond,fox,BAD,,1.0,0,1,"mike joy does such a great job and as long as i don't have to listen to jaws all the time, i like larry and hammond, can still do without myers, fox does a much better job than espn.","for that anonymous who said fox tv's ratings are down and talked about fox personalities...if he did any checking..fox's prerace show got better ratings than many races last year on tnt and espn..dw,hammond, and myers help to promote nascar..nascar needs better racing to promote itself",,,
juice,tea,easier for me to drink juice or tea,juice,BAD,,1.0,0,1,"i fill a 1,5l bottle with about 2/3 water and 1/3 orange juice (it's easier for me to drink juice or tea than plain water) and i make sure i drink that in a day.",,,,
juice,tea,easier to take with a little sugar,juice,BAD,,1.0,0,1,i have also made a tea out of dill and it also works but not as quickly - but is easier to take with a little sugar than pickle juice.,,,,
juice,tea,folgers,juice,BAD,,1.0,0,1,"coffee is a wake-up juice, and as long as you don't have the bitterness (easily possible, even with folgers, if you figure out the right way to do it) i think it tastes even better than tea.",,,,
