difficulty	preference	context	aspect	direct	opinion	argument	reason	method	factoid	super	comp	question	item1	item2	item3	comp_aspect1	comp_aspect2	non-serious	navigational	spelling	rude	not question	dataset
0	0	0	0	0	0	0	0	0	0	0	0	what type of steel is identified by a three digit number	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	when my heart is overwhelmed scritpure	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	how many people in the united states watch cnn news	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how does safe exchanges work	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how long does naturalization process take?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	is universal vacation resorts a scam	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	why is it called the cn tower	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	southpaw meaning origin	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what makes up the calves anatomy	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	when do they strip membranes during pregnancy	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how many teeth sharks get	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is the meaning of browser	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does a neurosurgeon treat	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is the normal size for printer	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how to find root on a flash drive	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	weather history in amsterdam	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what does unilateral mean	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what food group is walnut in?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how do you mix turmeric paste for cysts	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	should summer sausage be refrigerated	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	who sings the song hot stuff	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what green card fees is an employer required to pay	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	trafficking in the month of march	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	how do you change a table back to a paragraph in word	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	are the runways open at msp airport	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	as body temperature increases, the blood vessels of the dermis will	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is carbatrol medication for	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	stucco testing procedures	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	average salary for human resources generalist	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	symptoms of pyruvate dehydrogenase deficiency	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	education requirements for cfe	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	Name the Mesopotamian states in order	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	how much does it cost to get your brake pads replaced uk	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	Maritge name meaning	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what vertical integration has marriott hotel done	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	signature dish meaning	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	average obese iq	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	where is great exuma	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	maximum dose of acetaminophen	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	cystic fibrosis is a disease that __________.	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	driveway gates cost	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	which of the following systems are in echinoderms nervous excretory respiratory skeletal	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is disney point summary	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what size of suture material we will use in rabbit spay	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does the G mean on lense	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is administrative leave mean	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	which glands lie below the prostate	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	where is al pacino from	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	weather in williams ca	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what lockdown means	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	groton chalet phone number	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what does a qa specialist at paycom get paid starting out	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	reiki what is it	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	1	0	0	1	0	0	0	1	what is the main difference between the alpine tundra and the arctic tundra quizlet	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	cost to post letter to new zealand	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	weather in wooster ohio	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what county is manassas va in?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	is the common cold a disease	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is emdr used for	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how much weight can be cut from cutting out alcohol	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how many calories in a cup of berries	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	excitable definition anatomy	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	another way to say arms straight out next to him	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	lihue area code	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	do seizure what does it mean	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	employer cost of hiring	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	protective services definition	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	cmu veneer	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	cluster sampling definition	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	which power tool cleaning standards a surface profile	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is hp with a computer	0	0	0	0	0	0	0	0	0	0	m
0	1	0	1	0	1	1	0	0	0	1	1	who's the prettiest in moana	0	0	0	the prettiest	prettiness	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	kopps rule definition	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	how does an annuity work	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is irony and poetic justice?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	is zinc good for muscle growth	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what organs in what quadrants of body	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	cause of sudden drop in blood pressure	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	operational cost for new bed	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what does the nile mean in egyptian	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what causes flat veins	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	valium use	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	how to sa close the door in spanish	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is community practice in social work	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does an early childhood consultant	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	climara is used for what	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what temperature does frost form	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	causes of a cold	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	who originally produced scrimshaw works	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	hull defined	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	who plays starchild in glee	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how to change simpro quote number	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	is an llc a limited partnership	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what are the functions of nematocysts	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	age limit for coast guard reserves	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	average remodeling cost	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is the altitude in laramie wyoming	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what causes cats eyes to look snotty	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	playbook dimensions	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is a cxr lab	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does RAI in case management	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does the last name spratt mean	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is the name of the nagios daemon?	0	0	0	0	0	0	0	0	0	0	m
1	1	0	1	0	0	0	0	0	1	1	1	who invented the very first optical microscopes	0	0	0	the very first	date of invention	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is clipboard?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how many hours do you have to have in college to be considered a junior	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is prednisolone prescribed for	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is inertia?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is embodied energy	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	tivic healthcare	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	how long to cook a prime rib in oven	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does the name volga mean	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	why did the strategic hamlet program fail	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is hdcp?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	do biceps hurt with tennis elbow	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does dissertation mean	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	who is nurse cratchit	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is a old cider press worth	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how long for average person to do marathon	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what gas do plants and people need	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	daisy dare	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is a minimum thermometer	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	who is mang in gems of war	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	us assure builders risk	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what are channeling skills for demon hunter	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what are the animals in the antarctic desert	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what kind of physician takes of patients with non essential tremors	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	who created the consumer financial protection b	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is munising,mi zip code	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how many calories in a bowl of chili	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	deficit spending	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is the rotation of uranus like	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	weather in mio, michigan fahrenheit	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what organ could be donated while alive	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what elements are contained on a ghs label	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how many episodes of the waltons were made	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	why is the yellow river called yellow river	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what are the chances of getting hiv after a single encounter	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	can arthritis cause pain and swelling in the knee	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is merlin entertainment	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	wow gruul lair location	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	standing group definition	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	how quick does cialis take to work	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	does the FDA regulate marketing practices for physician groups?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	cost to convert chlorine to saltwater pool	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	portland bureau of police non emergency	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is the population and the population density in the tokyo yokohama urban area	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is  impotence risk	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	which baby graced the cover of the first tv guide magazine	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	why did they used to do blood test for marriage	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	How many moles of gold atoms do 3.20×1024 gold atoms constitute?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what do you do when you think someone is using your credit	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is business analyst of product development	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does pf mean in fantasy football	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does it mean when it feels like someone is choking you	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how must training programs continue to evolve	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	was the southern baptist church founded to support slavery	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is the population of graham arizona	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is argus community inc	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	typical expedite fee	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what's a footnote	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	which is larger land us or china	0	0	0	larger	size	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how many calories in hamburger meat	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how do they calculate penalties and interest on taxes	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how was the geologic time scale created	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	which dna gene effects maleness	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is birch oil	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is capri pant	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	where is the vascular tissue found in plants	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	why is it called lymphedema	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what are autoflowering marijuana seeds	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what flowering plant is hardy for shade	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	define structural engineering	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	extreme dehydration symptoms	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is socl2 purpose	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	which way to run hardwood floors	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what makes entity vie?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	the meaning of the name aria	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is bermuda grass	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what did king hadrian design	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is a broken clavicle	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	propaganda techniques definition and examples	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	cost analyst accountant responsibilities	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what prion disease causes holes in the brain	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how to cook a roast beef without an oven	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what msa is sonoma county	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	where does natural cotton come from	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	if im a size 12-14 in underwear what size would i be in victoria secret	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what drugs are used for heart block	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does the name percy mean	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	who is the broker in quarry	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	cost of brake replacement	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	law college dehradun ranking	0	0	0	0	0	0	0	0	0	1	m
